Date,Code,Rev,Res
2020-01-01,AR,0.0,0.0
2020-01-01,CO,0.0,0.0
2020-01-01,CS,0.0,0.0
2020-01-01,CT,0.0,0.0
2020-01-01,FIX,0.0,0.0
2020-01-01,GC,0.0,0.0
2020-01-01,GE,0.0,0.0
2020-01-01,GL,0.0,0.0
2020-01-01,GS,0.0,0.0
2020-01-01,GV,0.0,0.0
2020-01-01,HSE,0.0,0.0
2020-01-01,NG,219.44,2.0
2020-01-01,OP,0.0,0.0
2020-01-01,OT,24594.06,174.0
2020-01-01,PK,0.0,0.0
2020-01-01,PSBY,0.0,0.0
2020-01-01,RA,109.92,1.0
2020-01-01,SP,6409.08,37.0
2020-01-01,WH,5018.74,29.0
2020-01-02,AR,0.0,0.0
2020-01-02,CO,0.0,0.0
2020-01-02,CS,134.65,1.0
2020-01-02,CT,0.0,0.0
2020-01-02,FIX,0.0,0.0
2020-01-02,GC,0.0,0.0
2020-01-02,GE,0.0,0.0
2020-01-02,GL,0.0,0.0
2020-01-02,GS,0.0,0.0
2020-01-02,GV,0.0,0.0
2020-01-02,HSE,0.0,0.0
2020-01-02,NG,528.42,5.0
2020-01-02,OP,216.3,1.0
2020-01-02,OT,20031.9,158.0
2020-01-02,PK,0.0,0.0
2020-01-02,PSBY,0.0,0.0
2020-01-02,RA,0.0,0.0
2020-01-02,SP,5940.82,42.0
2020-01-02,WH,2720.33,25.0
2020-01-03,AR,0.0,0.0
2020-01-03,CO,0.0,0.0
2020-01-03,CS,0.0,0.0
2020-01-03,CT,0.0,0.0
2020-01-03,FIX,0.0,0.0
2020-01-03,GC,0.0,0.0
2020-01-03,GE,0.0,0.0
2020-01-03,GL,0.0,0.0
2020-01-03,GS,0.0,0.0
2020-01-03,GV,0.0,0.0
2020-01-03,HSE,0.0,0.0
2020-01-03,NG,281.38,3.0
2020-01-03,OP,109.5,1.0
2020-01-03,OT,17260.96,148.0
2020-01-03,PK,0.0,0.0
2020-01-03,PSBY,0.0,0.0
2020-01-03,RA,439.94,3.0
2020-01-03,SP,6141.2,45.0
2020-01-03,WH,2274.33,21.0
2020-01-04,AR,0.0,0.0
2020-01-04,CO,0.0,0.0
2020-01-04,CS,0.0,0.0
2020-01-04,CT,0.0,0.0
2020-01-04,FIX,0.0,0.0
2020-01-04,GC,0.0,0.0
2020-01-04,GE,0.0,0.0
2020-01-04,GL,0.0,0.0
2020-01-04,GS,0.0,0.0
2020-01-04,GV,0.0,0.0
2020-01-04,HSE,0.0,0.0
2020-01-04,NG,282.86,2.0
2020-01-04,OP,278.4,3.0
2020-01-04,OT,15341.14,127.0
2020-01-04,PK,0.0,0.0
2020-01-04,PSBY,0.0,0.0
2020-01-04,RA,239.04,2.0
2020-01-04,SP,6846.04,50.0
2020-01-04,WH,1534.33,11.0
2020-01-05,AR,0.0,0.0
2020-01-05,CO,0.0,0.0
2020-01-05,CS,126.05,1.0
2020-01-05,CT,0.0,0.0
2020-01-05,FIX,0.0,0.0
2020-01-05,GC,0.0,0.0
2020-01-05,GE,0.0,0.0
2020-01-05,GL,0.0,0.0
2020-01-05,GS,0.0,0.0
2020-01-05,GV,0.0,0.0
2020-01-05,HSE,0.0,1.0
2020-01-05,NG,698.45,6.0
2020-01-05,OP,0.0,0.0
2020-01-05,OT,8581.81,74.0
2020-01-05,PK,301.95,3.0
2020-01-05,PSBY,0.0,0.0
2020-01-05,RA,324.12,2.0
2020-01-05,SP,4079.59,31.0
2020-01-05,WH,792.0,8.0
2020-01-06,AR,0.0,0.0
2020-01-06,CO,0.0,0.0
2020-01-06,CS,151.43,1.0
2020-01-06,CT,0.0,0.0
2020-01-06,FIX,0.0,0.0
2020-01-06,GC,0.0,0.0
2020-01-06,GE,0.0,0.0
2020-01-06,GL,0.0,0.0
2020-01-06,GS,0.0,0.0
2020-01-06,GV,0.0,0.0
2020-01-06,HSE,0.0,1.0
2020-01-06,NG,1598.64,12.0
2020-01-06,OP,0.0,0.0
2020-01-06,OT,8658.86,69.0
2020-01-06,PK,437.1,4.0
2020-01-06,PSBY,0.0,0.0
2020-01-06,RA,159.0,1.0
2020-01-06,SP,4057.64,27.0
2020-01-06,WH,1040.58,10.0
2020-01-07,AR,0.0,0.0
2020-01-07,CO,0.0,1.0
2020-01-07,CS,455.41,3.0
2020-01-07,CT,0.0,0.0
2020-01-07,FIX,0.0,0.0
2020-01-07,GC,0.0,0.0
2020-01-07,GE,0.0,0.0
2020-01-07,GL,0.0,0.0
2020-01-07,GS,0.0,0.0
2020-01-07,GV,0.0,0.0
2020-01-07,HSE,0.0,0.0
2020-01-07,NG,3221.81,21.0
2020-01-07,OP,113.4,1.0
2020-01-07,OT,10105.6,78.0
2020-01-07,PK,770.15,5.0
2020-01-07,PSBY,0.0,0.0
2020-01-07,RA,199.0,1.0
2020-01-07,SP,4475.02,26.0
