Date,Code,Rev,Res
2020-11-23,AR,0.0,0
2020-11-23,CO,0.0,0
2020-11-23,CS,0.0,0
2020-11-23,CT,0.0,0
2020-11-23,FIX,0.0,0
2020-11-23,GC,0.0,0
2020-11-23,GE,0.0,0
2020-11-23,GL,0.0,0
2020-11-23,GS,0.0,0
2020-11-23,GV,0.0,0
2020-11-23,HSE,0.0,0
2020-11-23,INT,0.0,0
2020-11-23,NG,69.0,1
2020-11-23,OP,0.0,0
2020-11-23,OT,4946.23,49
2020-11-23,PK,0.0,0
2020-11-23,PSBY,0.0,0
2020-11-23,RA,391.0,3
2020-11-23,SP,2717.0,23
2020-11-23,WH,130.0,2
2020-11-24,AR,0.0,0
2020-11-24,CO,0.0,0
2020-11-24,CS,0.0,0
2020-11-24,CT,0.0,0
2020-11-24,FIX,0.0,0
2020-11-24,GC,0.0,0
2020-11-24,GE,0.0,0
2020-11-24,GL,0.0,0
2020-11-24,GS,0.0,0
2020-11-24,GV,0.0,0
2020-11-24,HSE,0.0,0
2020-11-24,INT,0.0,0
2020-11-24,NG,69.0,1
2020-11-24,OP,0.0,0
2020-11-24,OT,5437.82,55
2020-11-24,PK,0.0,0
2020-11-24,PSBY,0.0,0
2020-11-24,RA,328.0,2
2020-11-24,SP,2032.0,16
2020-11-24,WH,269.0,3
2020-11-25,AR,0.0,0
2020-11-25,CO,0.0,0
2020-11-25,CS,0.0,0
2020-11-25,CT,0.0,0
2020-11-25,FIX,0.0,0
2020-11-25,GC,0.0,0
2020-11-25,GE,0.0,0
2020-11-25,GL,0.0,0
2020-11-25,GS,0.0,0
2020-11-25,GV,0.0,0
2020-11-25,HSE,0.0,0
2020-11-25,INT,0.0,0
2020-11-25,NG,69.0,1
2020-11-25,OP,0.0,0
2020-11-25,OT,5280.22,52
2020-11-25,PK,0.0,0
2020-11-25,PSBY,0.0,0
2020-11-25,RA,377.0,3
2020-11-25,SP,2548.0,22
2020-11-25,WH,234.0,2
2020-11-26,AR,0.0,0
2020-11-26,CO,0.0,0
2020-11-26,CS,0.0,0
2020-11-26,CT,0.0,0
2020-11-26,FIX,0.0,0
2020-11-26,GC,0.0,0
2020-11-26,GE,0.0,0
2020-11-26,GL,0.0,0
2020-11-26,GS,0.0,0
2020-11-26,GV,0.0,0
2020-11-26,HSE,0.0,0
2020-11-26,INT,0.0,0
2020-11-26,NG,0.0,0
2020-11-26,OP,110.0,2
2020-11-26,OT,6618.12,67
2020-11-26,PK,0.0,0
2020-11-26,PSBY,0.0,0
2020-11-26,RA,0.0,0
2020-11-26,SP,2422.0,20
2020-11-26,WH,364.0,4
2020-11-27,AR,0.0,0
2020-11-27,CO,0.0,0
2020-11-27,CS,0.0,0
2020-11-27,CT,0.0,0
2020-11-27,FIX,0.0,0
2020-11-27,GC,0.0,0
2020-11-27,GE,0.0,0
2020-11-27,GL,0.0,0
2020-11-27,GS,0.0,0
2020-11-27,GV,0.0,0
2020-11-27,HSE,0.0,0
2020-11-27,INT,0.0,0
2020-11-27,NG,0.0,0
2020-11-27,OP,165.0,3
2020-11-27,OT,9166.34,85
2020-11-27,PK,0.0,0
2020-11-27,PSBY,0.0,0
2020-11-27,RA,845.0,5
2020-11-27,SP,3984.0,31
2020-11-27,WH,667.0,7
2020-11-28,AR,0.0,0
2020-11-28,CO,0.0,0
2020-11-28,CS,0.0,0
2020-11-28,CT,0.0,0
2020-11-28,FIX,0.0,0
2020-11-28,GC,0.0,0
2020-11-28,GE,0.0,0
2020-11-28,GL,0.0,0
2020-11-28,GS,0.0,0
2020-11-28,GV,0.0,0
2020-11-28,HSE,0.0,0
2020-11-28,INT,0.0,0
2020-11-28,NG,0.0,0
2020-11-28,OP,110.0,2
2020-11-28,OT,9350.93,82
2020-11-28,PK,0.0,0
2020-11-28,PSBY,0.0,0
2020-11-28,RA,1163.0,7
2020-11-28,SP,5215.0,36
2020-11-28,WH,463.0,5
2020-11-29,AR,0.0,0
2020-11-29,CO,0.0,0
2020-11-29,CS,0.0,0
2020-11-29,CT,0.0,0
2020-11-29,FIX,0.0,0
2020-11-29,GC,0.0,0
2020-11-29,GE,0.0,0
2020-11-29,GL,0.0,0
2020-11-29,GS,0.0,0
2020-11-29,GV,0.0,0
2020-11-29,HSE,0.0,0
2020-11-29,INT,0.0,0
2020-11-29,NG,139.0,1
2020-11-29,OP,55.0,1
2020-11-29,OT,4384.18,43
2020-11-29,PK,0.0,0
2020-11-29,PSBY,0.0,0
2020-11-29,RA,169.0,1
2020-11-29,SP,2641.0,21
2020-11-29,WH,436.55,4
2020-11-30,AR,0.0,0
2020-11-30,CO,0.0,0
2020-11-30,CS,0.0,0
2020-11-30,CT,0.0,0
2020-11-30,FIX,0.0,0
2020-11-30,GC,0.0,0
2020-11-30,GE,0.0,0
2020-11-30,GL,0.0,0
2020-11-30,GS,0.0,0
2020-11-30,GV,0.0,0
2020-11-30,HSE,0.0,0
2020-11-30,INT,0.0,0
2020-11-30,NG,139.0,1
2020-11-30,OP,55.0,1
2020-11-30,OT,3295.17,31
2020-11-30,PK,0.0,0
2020-11-30,PSBY,0.0,0
2020-11-30,RA,169.0,1
2020-11-30,SP,575.0,4
2020-11-30,WH,377.05,3
2020-12-01,AR,0.0,0
2020-12-01,CO,0.0,0
2020-12-01,CS,0.0,0
2020-12-01,CT,0.0,0
2020-12-01,FIX,0.0,0
2020-12-01,GC,0.0,0
2020-12-01,GE,0.0,0
2020-12-01,GL,0.0,0
2020-12-01,GS,0.0,0
2020-12-01,GV,0.0,0
2020-12-01,HSE,0.0,0
2020-12-01,INT,0.0,0
2020-12-01,NG,0.0,0
2020-12-01,OP,0.0,0
2020-12-01,OT,3761.33,35
2020-12-01,PK,0.0,0
2020-12-01,PSBY,0.0,0
2020-12-01,RA,338.0,2
2020-12-01,SP,985.0,7
2020-12-01,WH,616.24,3
2020-12-02,AR,0.0,0
2020-12-02,CO,0.0,0
2020-12-02,CS,0.0,0
2020-12-02,CT,0.0,0
2020-12-02,FIX,0.0,0
2020-12-02,GC,0.0,0
2020-12-02,GE,0.0,0
2020-12-02,GL,0.0,0
2020-12-02,GS,0.0,0
2020-12-02,GV,0.0,0
2020-12-02,HSE,0.0,0
2020-12-02,INT,0.0,0
2020-12-02,NG,0.0,0
2020-12-02,OP,0.0,0
2020-12-02,OT,4534.53,44
2020-12-02,PK,0.0,0
2020-12-02,PSBY,0.0,0
2020-12-02,RA,328.0,2
2020-12-02,SP,1696.0,14
2020-12-02,WH,616.24,3
2020-12-03,AR,0.0,0
2020-12-03,CO,0.0,0
2020-12-03,CS,0.0,0
2020-12-03,CT,0.0,0
2020-12-03,FIX,0.0,0
2020-12-03,GC,0.0,0
2020-12-03,GE,0.0,0
2020-12-03,GL,0.0,0
2020-12-03,GS,0.0,0
2020-12-03,GV,0.0,0
