Date,Code,Rev,Res
2020-11-30,AR,0.0,0
2020-11-30,CO,0.0,0
2020-11-30,CS,0.0,0
2020-11-30,CT,0.0,0
2020-11-30,FIX,0.0,0
2020-11-30,GC,0.0,0
2020-11-30,GE,0.0,0
2020-11-30,GL,0.0,0
2020-11-30,GS,0.0,0
2020-11-30,GV,0.0,0
2020-11-30,HSE,0.0,0
2020-11-30,INT,0.0,0
2020-11-30,NG,69.0,1
2020-11-30,OP,55.0,1
2020-11-30,OT,4863.31,53
2020-11-30,PK,0.0,0
2020-11-30,PSBY,0.0,0
2020-11-30,RA,377.0,3
2020-11-30,SP,2544.3,24
2020-11-30,WH,178.05,2
2020-12-01,AR,0.0,0
2020-12-01,CO,0.0,0
2020-12-01,CS,0.0,0
2020-12-01,CT,0.0,0
2020-12-01,FIX,0.0,0
2020-12-01,GC,0.0,0
2020-12-01,GE,0.0,0
2020-12-01,GL,0.0,0
2020-12-01,GS,0.0,0
2020-12-01,GV,0.0,0
2020-12-01,HSE,0.0,0
2020-12-01,INT,0.0,0
2020-12-01,NG,69.0,1
2020-12-01,OP,0.0,0
2020-12-01,OT,5069.36,51
2020-12-01,PK,0.0,0
2020-12-01,PSBY,0.0,0
2020-12-01,RA,338.0,2
2020-12-01,SP,2459.3,23
2020-12-01,WH,217.24,2
2020-12-02,AR,0.0,0
2020-12-02,CO,0.0,0
2020-12-02,CS,0.0,0
2020-12-02,CT,0.0,0
2020-12-02,FIX,0.0,0
2020-12-02,GC,0.0,0
2020-12-02,GE,0.0,0
2020-12-02,GL,0.0,0
2020-12-02,GS,0.0,0
2020-12-02,GV,0.0,0
2020-12-02,HSE,0.0,0
2020-12-02,INT,0.0,0
2020-12-02,NG,69.0,1
2020-12-02,OP,0.0,0
2020-12-02,OT,4936.66,52
2020-12-02,PK,0.0,0
2020-12-02,PSBY,0.0,0
2020-12-02,RA,328.0,2
2020-12-02,SP,2779.0,25
2020-12-02,WH,217.24,2
2020-12-03,AR,0.0,0
2020-12-03,CO,0.0,0
2020-12-03,CS,0.0,0
2020-12-03,CT,0.0,0
2020-12-03,FIX,0.0,0
2020-12-03,GC,0.0,0
2020-12-03,GE,0.0,0
2020-12-03,GL,0.0,0
2020-12-03,GS,0.0,0
2020-12-03,GV,0.0,0
2020-12-03,HSE,0.0,0
2020-12-03,INT,0.0,0
2020-12-03,NG,69.0,1
2020-12-03,OP,0.0,0
2020-12-03,OT,5516.25,56
2020-12-03,PK,0.0,0
2020-12-03,PSBY,0.0,0
2020-12-03,RA,169.0,1
2020-12-03,SP,3083.0,28
2020-12-03,WH,530.24,5
2020-12-04,AR,0.0,0
2020-12-04,CO,0.0,0
2020-12-04,CS,79.0,1
2020-12-04,CT,0.0,0
2020-12-04,FIX,0.0,0
2020-12-04,GC,0.0,0
2020-12-04,GE,0.0,0
2020-12-04,GL,0.0,0
2020-12-04,GS,0.0,0
2020-12-04,GV,0.0,0
2020-12-04,HSE,143.06,1
2020-12-04,INT,0.0,0
2020-12-04,NG,69.0,1
2020-12-04,OP,0.0,0
2020-12-04,OT,9309.77,93
2020-12-04,PK,0.0,0
2020-12-04,PSBY,0.0,0
2020-12-04,RA,169.0,1
2020-12-04,SP,5158.09,43
2020-12-04,WH,695.86,5
2020-12-05,AR,0.0,0
2020-12-05,CO,0.0,0
2020-12-05,CS,79.0,1
2020-12-05,CT,0.0,0
2020-12-05,FIX,0.0,0
2020-12-05,GC,0.0,0
2020-12-05,GE,0.0,0
2020-12-05,GL,0.0,0
2020-12-05,GS,0.0,0
2020-12-05,GV,0.0,0
2020-12-05,HSE,143.06,1
2020-12-05,INT,0.0,0
2020-12-05,NG,69.0,1
2020-12-05,OP,0.0,0
2020-12-05,OT,11600.97,118
2020-12-05,PK,0.0,0
2020-12-05,PSBY,0.0,0
2020-12-05,RA,427.0,3
2020-12-05,SP,6085.01,48
2020-12-05,WH,838.6,7
2020-12-06,AR,0.0,0
2020-12-06,CO,0.0,0
2020-12-06,CS,79.0,1
2020-12-06,CT,0.0,0
2020-12-06,FIX,0.0,0
2020-12-06,GC,0.0,0
2020-12-06,GE,0.0,0
2020-12-06,GL,0.0,0
2020-12-06,GS,0.0,0
2020-12-06,GV,0.0,0
2020-12-06,HSE,0.0,0
2020-12-06,INT,0.0,0
2020-12-06,NG,0.0,0
2020-12-06,OP,0.0,0
2020-12-06,OT,4930.95,48
2020-12-06,PK,0.0,0
2020-12-06,PSBY,0.0,0
2020-12-06,RA,169.0,2
2020-12-06,SP,3475.0,32
2020-12-06,WH,769.33,7
2020-12-07,AR,0.0,0
2020-12-07,CO,0.0,0
2020-12-07,CS,0.0,0
2020-12-07,CT,0.0,0
2020-12-07,FIX,0.0,0
2020-12-07,GC,0.0,0
2020-12-07,GE,0.0,0
2020-12-07,GL,0.0,0
2020-12-07,GS,0.0,0
2020-12-07,GV,0.0,0
2020-12-07,HSE,0.0,0
2020-12-07,INT,0.0,0
2020-12-07,NG,0.0,0
2020-12-07,OP,55.0,1
2020-12-07,OT,4431.86,44
2020-12-07,PK,0.0,0
2020-12-07,PSBY,0.0,0
2020-12-07,RA,0.0,0
2020-12-07,SP,2422.0,19
2020-12-07,WH,448.97,3
2020-12-08,AR,0.0,0
2020-12-08,CO,0.0,0
2020-12-08,CS,0.0,0
2020-12-08,CT,0.0,0
2020-12-08,FIX,0.0,0
2020-12-08,GC,0.0,0
2020-12-08,GE,0.0,0
2020-12-08,GL,0.0,0
2020-12-08,GS,0.0,0
2020-12-08,GV,0.0,0
2020-12-08,HSE,0.0,0
2020-12-08,INT,0.0,0
2020-12-08,NG,0.0,0
2020-12-08,OP,55.0,1
2020-12-08,OT,4232.98,44
2020-12-08,PK,0.0,0
2020-12-08,PSBY,0.0,0
2020-12-08,RA,0.0,0
2020-12-08,SP,1261.0,11
2020-12-08,WH,448.96,3
2020-12-09,AR,0.0,0
2020-12-09,CO,0.0,0
2020-12-09,CS,0.0,0
2020-12-09,CT,0.0,0
2020-12-09,FIX,0.0,0
2020-12-09,GC,0.0,0
2020-12-09,GE,0.0,0
2020-12-09,GL,0.0,0
2020-12-09,GS,0.0,0
2020-12-09,GV,0.0,0
2020-12-09,HSE,0.0,0
2020-12-09,INT,0.0,0
2020-12-09,NG,0.0,0
2020-12-09,OP,0.0,0
2020-12-09,OT,4961.0,53
2020-12-09,PK,0.0,0
2020-12-09,PSBY,0.0,0
2020-12-09,RA,159.0,1
2020-12-09,SP,1092.0,9
2020-12-09,WH,329.96,2
2020-12-10,AR,0.0,0
2020-12-10,CO,0.0,0
2020-12-10,CS,0.0,0
